segment,price_index,predicted_quantity,revenue
Premium,3.00000000000003,5.9240796326013125,15.391085364557371
Premium,4.000000000000031,5.900564589081729,15.478826859213703
Premium,5.000000000000032,5.877049545562145,15.565382074666342
Premium,6.000000000000033,5.853534502042562,15.650751010915295
Premium,7.000000000000034,5.830019458522979,15.73493366796056
Premium,8.000000000000036,5.8065044150033955,15.817930045802138
Premium,9.000000000000036,5.782989371483813,15.899740144440027
Premium,10.000000000000037,5.75947432796423,15.980363963874227
Premium,11.000000000000037,5.735959284444646,16.059801504104737
Premium,12.000000000000039,5.712444240925063,16.138052765131558
Premium,13.000000000000039,5.688929197405479,16.215117746954693
Premium,14.00000000000004,5.665414153885896,16.29099644957414
Premium,15.00000000000004,5.641899110366314,16.3656888729899
Premium,16.000000000000043,5.618384066846731,16.439195017201968
Premium,17.000000000000043,5.5948690233271465,16.511514882210346
Premium,18.000000000000043,5.571353979807563,16.582648468015037
Premium,19.000000000000046,5.54783893628798,16.652595774616042
Premium,20.000000000000046,5.524323892768397,16.721356802013357
Premium,21.000000000000046,5.5008088492488145,16.788931550206986
Premium,22.000000000000046,5.477293805729231,16.855320019196924
Premium,23.00000000000005,5.453778762209647,16.920522208983172
Premium,24.00000000000005,5.430263718690064,16.98453811956573
Premium,25.00000000000005,5.406748675170481,17.047367750944606
Premium,26.00000000000005,5.383233631650898,17.109011103119794
Premium,27.000000000000053,5.359718588131315,17.16946817609129
Premium,28.000000000000053,5.336203544611732,17.228738969859098
Premium,29.000000000000053,5.312688501092148,17.286823484423213
Premium,30.000000000000053,5.289173457572565,17.34372171978364
Budget,-30.0,3.0793423092683265,6.70936893758302
Budget,-28.999999999999996,3.0724295569834865,6.789940173286481
Budget,-27.999999999999996,3.0655168046986456,6.870081074004695
Budget,-26.999999999999996,3.058604052413806,6.949791639737662
Budget,-25.999999999999996,3.051691300128966,7.029071870485382
Budget,-24.999999999999993,3.044778547844125,7.10792176624785
Budget,-23.999999999999993,3.037865795559285,7.186341327025073
Budget,-22.999999999999993,3.030953043274445,7.26433055281705
Budget,-21.999999999999993,3.0240402909896047,7.341889443623776
Budget,-20.99999999999999,3.0171275387047647,7.419017999445257
